sentence,category
24105 match ticket,Entertainment
ලයිට් බිල salli 45105,Utilities
pickme food salli 11128,Food
pocket money Rs.4461,Other
32174 fuel,Transport
තෙල් salli 35166,Transport
දානය 11928,Gifts & Charity
11848 poth,Education
gaming salli 21683,Entertainment
panthi 17454,Education
17349 donation,Gifts & Charity
pizza salli 17034,Food
pocket money Rs.18467,Other
meat salli 11057,Shopping
vacation 39051,Entertainment
cash salli 38685,Other
17504 ආධාර,Gifts & Charity
beer salli 14383,Entertainment
බර්ත්ඩේ salli 28825,Gifts & Charity
rice Rs.49590,Food
spotify Rs.24898,Entertainment
9266 finance,Finance
udemy Rs.42291,Education
daraz Rs.5891,Shopping
10260 operation,Health
සෙල්ලම් කරන්න salli 20746,Entertainment
present Rs.20113,Gifts & Charity
46923 leasing,Finance
49008 දානය,Gifts & Charity
water bill salli 14245,Utilities
18152 offer,Gifts & Charity
shaving salli 45643,Personal Care
club salli 31758,Entertainment
31947 threewheel,Transport
match ticket 40496,Entertainment
hoppers Rs.23738,Food
mobitel salli 7269,Utilities
24019 broadband,Utilities
hutch salli 21938,Utilities
skincare 44113,Personal Care
1065 interest,Finance
කඩෙන් කෑවා Rs.28766,Food
කඩෙන් කෑවා 666,Food
water bill salli 18746,Utilities
beer Rs.41256,Entertainment
47713 shaving,Personal Care
dentist salli 26938,Health
vitamin 12220,Health
ලයිට් බිල 45273,Utilities
shoes 40235,Shopping
26518 perfume,Personal Care
streaming salli 23794,Entertainment
48606 salon,Personal Care
මුදල් salli 1270,Other
කොණ්ඩය කැපුවා 8455,Personal Care
lab 27186,Health
unknown 45711,Other
beheth 39750,Health
චැනලින් salli 30700,Health
35209 birthday,Gifts & Charity
10200 don't know,Other
fare 12046,Transport
30904 gift,Gifts & Charity
wifi salli 31380,Utilities
religious salli 25177,Gifts & Charity
helping 31539,Gifts & Charity
40282 degree,Education
fiber 29676,Utilities
highway toll 37818,Transport
taxi 47333,Transport
ජිම් එකට 40313,Personal Care
spa 25787,Personal Care
fare 16633,Transport
35270 කෝච්චියට,Transport
සපත්තු salli 44077,Shopping
වතුර බිල 17711,Utilities
19109 tshirt,Shopping
43935 auto,Transport
game 15502,Entertainment
tuition Rs.22994,Education
31823 season,Transport
shoes 12851,Shopping
47089 insurance,Finance
data 48248,Utilities
සැලෝන් එකට Rs.16304,Personal Care
26741 bakery,Food
uber Rs.36888,Transport
11851 hair color,Personal Care
පින් වලට salli 6123,Gifts & Charity
train 45970,Transport
water bill Rs.21452,Utilities
hospital salli 32836,Health
dialog salli 42483,Utilities
28080 adventure,Entertainment
religious salli 38459,Gifts & Charity
stationary Rs.22426,Education
skincare Rs.14636,Personal Care
මුදල් Rs.32208,Other
18007 book,Education
35697 club,Entertainment
24976 hair color,Personal Care
18835 phone bill,Utilities
49282 charity,Gifts & Charity
24441 keells,Shopping
unknown salli 38050,Other
leasing Rs.34651,Finance
salon salli 8926,Personal Care
පෑන් පැන්සල් 3591,Education
general salli 41443,Other
gym 36170,Personal Care
15202 misc,Other
facewash 22442,Personal Care
trimming 12927,Personal Care
parking salli 31495,Transport
medical test Rs.34224,Health
බඩු ගත්තා 41368,Shopping
salon salli 27556,Personal Care
හොස්පිට්ල් salli 42799,Health
අතින් ගියා Rs.23004,Other
recharge 6334,Utilities
පෙට්‍රල් 41798,Transport
channeling Rs.49861,Health
44852 other,Other
මුදල් salli 40196,Other
තේ බොන්න salli 44061,Food
streaming Rs.28948,Entertainment
තෙල් salli 26553,Transport
taxi 357,Transport
reload 35553,Utilities
pants salli 4019,Shopping
office go Rs.31202,Transport
35697 gym,Personal Care
42352 donation,Gifts & Charity
2651 සැලෝන් එකට,Personal Care
රීලෝඩ් Rs.24798,Utilities
short eats 24055,Food
movie 43869,Entertainment
46552 alms,Gifts & Charity
කෝස් එකට 4767,Education
36832 body lotion,Personal Care
නිකම්ම Rs.24454,Other
සැලෝන් එකට Rs.4490,Personal Care
fare 46528,Transport
exam fee salli 48428,Education
නයි පියවන්න salli 2916,Finance
clothes 38160,Shopping
interest salli 36675,Finance
44345 වෙනත්,Other
32428 කොණ්ඩය කැපුවා,Personal Care
32711 beach,Entertainment
ණය salli 46496,Finance
11054 highway toll,Transport
poth salli 12672,Education
medical test 26405,Health
31093 අතමාරුව,Finance
49123 cargills,Shopping
beheth 35304,Health
6732 spent,Other
47612 petrol,Transport
විනෝදෙට 18667,Entertainment
highway toll 26060,Transport
mobitel 6684,Utilities
සැලෝන් එකට 43811,Personal Care
3934 cinema,Entertainment
data Rs.30811,Utilities
රෑ කෑම 18121,Food
34361 club,Entertainment
මේකප් salli 14405,Personal Care
28013 other,Other
බෙහෙත් වලට Rs.40750,Health
lab salli 16341,Health
shoppin 42403,Shopping
41105 auto,Transport
match ticket salli 30421,Entertainment
religious 34791,Gifts & Charity
youtube premium salli 37478,Entertainment
lost 33085,Other
vegetables Rs.830,Shopping
pickme salli 651,Transport
විනෝදෙට 24876,Entertainment
17854 workshop,Education
cool drink Rs.38225,Food
streaming 48100,Entertainment
keells 47230,Shopping
spa Rs.13039,Personal Care
28490 beheth,Health
නිකම්ම salli 24195,Other
spotify Rs.3943,Entertainment
13167 ayurvedic,Health
tire change salli 1628,Transport
tax 15005,Finance
tax 32566,Finance
20716 data,Utilities
pharmacy Rs.20990,Health
poth Rs.39179,Education
37051 මේකප්,Personal Care
donation 24546,Gifts & Charity
විභාග ගාස්තු 25476,Education
පොත් වලට 14739,Education
book 24261,Education
dentist Rs.9682,Health
barber 11619,Personal Care
prepaid salli 1609,Utilities
tshirt Rs.9521,Shopping
channeling salli 22385,Health
season salli 21022,Transport
investment 17026,Finance
streaming salli 33934,Entertainment
religious 46113,Gifts & Charity
11324 අතමාරුව,Finance
35917 reload,Utilities
investment salli 36611,Finance
pocket money salli 48396,Other
970 ෆිල්ම්,Entertainment
vitamin 21390,Health
investment salli 14906,Finance
22634 internet,Utilities
payment salli 48091,Finance
18487 dental,Health
සැලෝන් එකට 4627,Personal Care
වෙනත් salli 764,Other
gift salli 12180,Gifts & Charity
lab 8673,Health
daraz Rs.6017,Shopping
shampoo salli 38164,Shopping
පන්ති ගාස්තු salli 39026,Education
43387 current bill,Utilities
බිල් එකට 44459,Utilities
17222 ඉන්ෂුවරන්ස්,Finance
28062 pocket money,Other
payment 9157,Finance
22566 credit card,Finance
තෑගි 44211,Gifts & Charity
පන්ති ගාස්තු salli 3506,Education
beauty Rs.8760,Personal Care
grocery salli 20942,Shopping
පින් වලට salli 37887,Gifts & Charity
loan salli 17753,Finance
vegetables Rs.45472,Shopping
movie Rs.27056,Entertainment
අතමාරු ගත්තා salli 18051,Finance
ticket salli 19048,Transport
party Rs.11208,Entertainment
stock 14461,Finance
hutch Rs.13313,Utilities
liquor 24000,Entertainment
බත් Rs.18612,Food
wedding salli 26082,Gifts & Charity
health insurance 29959,Health
wade 7079,Food
soap 18865,Personal Care
49435 ආධාර,Gifts & Charity
අතමාරු ගත්තා Rs.13661,Finance
8552 car wash,Transport
12925 රීලෝඩ්,Utilities
බනිස් Rs.25624,Food
internet 39223,Utilities
hospital Rs.40129,Health
beer Rs.34097,Entertainment
කෝච්චියට 26608,Transport
lost Rs.20955,Other
kitchen items salli 19355,Shopping
38546 cash,Other
48217 club,Entertainment
21966 bank fee,Finance
coffee salli 19317,Food
hair cut Rs.20811,Personal Care
3263 credit card,Finance
10391 සපත්තු,Shopping
ticket Rs.17290,Transport
පින් වලට 41510,Gifts & Charity
shaving Rs.36904,Personal Care
4013 බස් එකට,Transport
cargills Rs.26116,Shopping
netflix Rs.38603,Entertainment
snacks salli 28704,Food
15938 data,Utilities
rice bag salli 20837,Shopping
watch Rs.36997,Shopping
wade 25724,Food
30866 නිකම්ම,Other
current bill Rs.18479,Utilities
10157 skincare,Personal Care
alms Rs.18938,Gifts & Charity
trimming salli 20293,Personal Care
religious salli 38135,Gifts & Charity
lost 2915,Other
ට්‍රිප් Rs.43429,Entertainment
mobitel salli 6643,Utilities
17817 perfume,Personal Care
30713 skincare,Personal Care
4153 spa,Personal Care
dhal salli 7626,Shopping
data 33474,Utilities
27662 breakfast,Food
33910 ලෝන් එකට,Finance
bakery Rs.15222,Food
ආධාර salli 24719,Gifts & Charity
kewa Rs.29885,Food
4860 degree,Education
ඩිසල් Rs.10634,Transport
gift Rs.29466,Gifts & Charity
soap Rs.31648,Shopping
shoppin 43208,Shopping
mobitel Rs.1016,Utilities
9385 restaurant,Food
දවල් කෑමට salli 29735,Food
facewash Rs.22942,Personal Care
cool drink salli 14267,Food
පොත් වලට Rs.21441,Education
26583 religious,Gifts & Charity
28937 lost,Other
liquor Rs.4117,Entertainment
සෙල්ලම් කරන්න 1027,Entertainment
uber salli 25979,Transport
dialog Rs.6220,Utilities
18494 වෙනත්,Other
medicine Rs.12177,Health
wade salli 39436,Food
taxi 7851,Transport
transport cost salli 37301,Transport
ticket 32448,Transport
unknown 39582,Other
කොණ්ඩය කැපුවා Rs.37074,Personal Care
shampoo salli 9774,Shopping
data Rs.31505,Utilities
spa 11301,Personal Care
ජිම් එකට Rs.8825,Personal Care
religious 36206,Gifts & Charity
ෆාමසි Rs.15125,Health
watch 30904,Shopping
18924 office go,Transport
bakery salli 37578,Food
payment salli 926,Finance
තෙල් Rs.40456,Transport
diesel 18064,Transport
41120 hair color,Personal Care
insurance salli 39157,Finance
කොණ්ඩය කැපුවා Rs.42558,Personal Care
hoppers 17528,Food
49182 degree,Education
spotify 45986,Entertainment
birthday salli 29701,Gifts & Charity
6303 body lotion,Personal Care
adventure 16773,Entertainment
ට්‍රිප් Rs.46732,Entertainment
pin salli 28867,Gifts & Charity
soap 38399,Shopping
club Rs.40875,Entertainment
degree Rs.36169,Education
makeup salli 8351,Personal Care
trimming salli 664,Personal Care
misc 22425,Other
phone bill salli 231,Utilities
11572 dinner,Food
alms 24358,Gifts & Charity
course 6833,Education
තේ බොන්න 21535,Food
නයි පියවන්න Rs.8917,Finance
බර්ත්ඩේ Rs.46149,Gifts & Charity
17443 show,Entertainment
crypto Rs.21989,Finance
spent salli 30322,Other
19313 රෑ කෑම,Food
pen and paper Rs.21635,Education
41512 wifi,Utilities
ෆාමසි 39178,Health
data 2884,Utilities
සෙල්ලම් කරන්න salli 49278,Entertainment
26611 uber,Transport
පින් වලට salli 26001,Gifts & Charity
තෙල් salli 44366,Transport
දානය salli 45189,Gifts & Charity
22586 soap,Personal Care
gym salli 43582,Personal Care
pin Rs.12793,Gifts & Charity
28818 spotify,Entertainment
2052 pickme food,Food
43731 vitamin,Health
14872 pin,Gifts & Charity
exam fee 48180,Education
වතුර බිල salli 588,Utilities
13108 ticket,Transport
hair cut 13913,Personal Care
21904 match ticket,Entertainment
6345 interest,Finance
slt bill Rs.25127,Utilities
eye check salli 14873,Health
physio Rs.35107,Health
17877 මේකප්,Personal Care
makeup salli 14689,Personal Care
bike service salli 32337,Transport
බඩු ගත්තා salli 16264,Shopping
other salli 4087,Other
party Rs.34582,Entertainment
tuition salli 10132,Education
30134 ඩොක්ටර්ට,Health
taxi salli 46068,Transport
38760 tax,Finance
liquor Rs.11348,Entertainment
insurance salli 26976,Finance
panthi salli 14132,Education
9927 අතමාරුව,Finance
pen and paper Rs.40921,Education
48448 රීලෝඩ්,Utilities
breakfast Rs.1950,Food
petrol 328,Transport
37735 gym,Personal Care
කොණ්ඩය කැපුවා 37090,Personal Care
29 payment,Finance
bag 25693,Shopping
class fee 23117,Education
20476 liquor,Entertainment
youtube premium 39311,Entertainment
37565 bank fee,Finance
operation Rs.48218,Health
ට්‍රිප් salli 23638,Entertainment
විභාග ගාස්තු salli 23798,Education
9981 wifi,Utilities
streaming salli 38171,Entertainment
කෝච්චියට salli 23780,Transport
cargills Rs.49618,Shopping
අතින් ගියා salli 34699,Other
club Rs.36249,Entertainment
sugar Rs.6203,Shopping
interest 40308,Finance
fare salli 24233,Transport
lost salli 6505,Other
20772 pen and paper,Education
show salli 23906,Entertainment
3640 කොත්තු,Food
26623 vitamin,Health
beach salli 29028,Entertainment
don't know 30542,Other
shampoo Rs.19524,Shopping
barber Rs.41423,Personal Care
misc 33130,Other
49970 shaving,Personal Care
concert 39271,Entertainment
finance Rs.42381,Finance
34285 netflix,Entertainment
බඩු ගත්තා Rs.8643,Shopping
channeling salli 9815,Health
32964 coffee,Food
dinner 9355,Food
reload salli 28932,Utilities
dental salli 47171,Health
14981 විනෝදෙට,Entertainment
snacks salli 14260,Food
හොස්පිට්ල් salli 8076,Health
credit card 18658,Finance
49958 insurance,Finance
udemy Rs.16223,Education
wifi salli 49933,Utilities
trip salli 18651,Entertainment
degree salli 44188,Education
pizza 24656,Food
drink Rs.10415,Food
vehicle repair 7459,Transport
loan Rs.46006,Finance
investment salli 42347,Finance
මේකප් salli 8850,Personal Care
1081 concert,Entertainment
32988 soap,Personal Care
9140 health insurance,Health
දානය Rs.22042,Gifts & Charity
25769 spotify,Entertainment
38572 සැලෝන් එකට,Personal Care
salon 25294,Personal Care
wedding Rs.32938,Gifts & Charity
ජිම් එකට salli 10342,Personal Care
37216 recharge,Utilities
5508 fare,Transport
bank fee 7693,Finance
fuel Rs.20952,Transport
36114 tuition,Education
tax 10120,Finance
match ticket salli 41434,Entertainment
meat salli 20787,Shopping
petrol Rs.13560,Transport
stationary Rs.17052,Education
පෙට්‍රල් 3234,Transport
alms 46728,Gifts & Charity
biscuit 31873,Food
20897 payment,Finance
general 28953,Other
38207 wifi,Utilities
ෆිල්ම් Rs.42764,Entertainment
36184 සෙල්ලම් කරන්න,Entertainment
payment 48531,Finance
tuition salli 25487,Education
rice 11798,Food
20921 kottu,Food
broadband 41373,Utilities
44019 ticket,Transport
cargills Rs.29097,Shopping
class fee 33414,Education
charity salli 27911,Gifts & Charity
arpico salli 39404,Shopping
watch 35010,Shopping
dinner salli 27065,Food
outing Rs.45244,Entertainment
finance Rs.17102,Finance
බෙහෙත් වලට salli 23535,Health
cargills 10546,Shopping
25216 රීලෝඩ්,Utilities
43217 udemy,Education
39264 keells,Shopping
office go salli 49080,Transport
45854 කොණ්ඩය කැපුවා,Personal Care
tuition salli 47365,Education
hotel bill 29580,Food
loan salli 38872,Finance
alms 20370,Gifts & Charity
donation 35665,Gifts & Charity
garbage fee Rs.10100,Utilities
41455 highway toll,Transport
clinic 11466,Health
diesel Rs.28018,Transport
electricity salli 5459,Utilities
physio Rs.9335,Health
29892 bus,Transport
cool drink 13757,Food
misc Rs.17012,Other
panthi salli 5492,Education
23909 විභාග ගාස්තු,Education
poth 39751,Education
arpico 14838,Shopping
28482 restaurant,Food
supermarket 47426,Shopping
29569 lost,Other
spent 43387,Other
3597 current bill,Utilities
hoppers salli 40056,Food
gift 6755,Gifts & Charity
23042 vehicle repair,Transport
panadol Rs.29544,Health
trip 33827,Entertainment
38207 bank fee,Finance
lab Rs.28990,Health
credit card Rs.27424,Finance
wade 24445,Food
gym Rs.36916,Personal Care
stock Rs.44390,Finance
නයි පියවන්න 29203,Finance
stationary salli 38299,Education
match ticket Rs.29667,Entertainment
dansal 32354,Gifts & Charity
uber Rs.46930,Transport
බනිස් Rs.7879,Food
නයි පියවන්න salli 11282,Finance
28494 don't know,Other
36512 vacation,Entertainment
alms 15226,Gifts & Charity
34806 reload,Utilities
workshop 37831,Education
840 beer,Entertainment
11033 dental,Health
බඩු ගත්තා 29626,Shopping
ෆිල්ම් Rs.9106,Entertainment
stock 22927,Finance
perfume Rs.19193,Personal Care
19623 මුදල්,Other
donation salli 29068,Gifts & Charity
33865 vegetables,Shopping
supermarket Rs.42797,Shopping
garbage fee 9411,Utilities
unknown 27930,Other
don't know 22891,Other
loan 6691,Finance
shampoo Rs.4796,Shopping
hair cut salli 17400,Personal Care
40882 beheth,Health
show Rs.10942,Entertainment
49404 library,Education
fuel Rs.5727,Transport
47561 restaurant,Food
concert Rs.11051,Entertainment
8014 leasing,Finance
hair color Rs.18671,Personal Care
eye check Rs.10423,Health
37744 pickme,Transport
පින් වලට 8491,Gifts & Charity
car wash salli 32018,Transport
22972 taxi,Transport
43288 spent,Other
outing salli 17621,Entertainment
37456 university,Education
ගෑස් Rs.42415,Utilities
shampoo salli 46033,Shopping
beach Rs.17600,Entertainment
payment Rs.49744,Finance
cool drink salli 17927,Food
දවල් කෑමට Rs.6102,Food
spa 42941,Personal Care
class fee 17627,Education
42956 finance,Finance
burger 33028,Food
15125 water bill,Utilities
6558 loan,Finance
udemy 12975,Education
38926 doctor,Health
body lotion salli 400,Personal Care
44221 clinic,Health
don't know 30318,Other
trimming Rs.35777,Personal Care
hoppers Rs.43351,Food
panthi salli 1362,Education
soap Rs.1261,Personal Care
දානය salli 38759,Gifts & Charity
present salli 40097,Gifts & Charity
ubereats salli 36272,Food
vehicle repair Rs.3007,Transport
තෙල් Rs.43496,Transport
7136 fare,Transport
ඩිසල් Rs.15483,Transport
gift salli 10568,Gifts & Charity
poth Rs.41598,Education
general salli 18077,Other
facewash salli 46784,Personal Care
vitamin 20507,Health
කෝච්චියට Rs.16327,Transport
dinner salli 19351,Food
ඉන්ෂුවරන්ස් Rs.18781,Finance
tuition 26390,Education
22430 coursera,Education
46282 workshop,Education
wade salli 14090,Food
salon 42340,Personal Care
සෙල්ලම් කරන්න 37464,Entertainment
ජිම් එකට Rs.19362,Personal Care
dentist salli 37564,Health
religious salli 18593,Gifts & Charity
බිල් එකට 47803,Utilities
පන්ති ගාස්තු 29176,Education
ලයිට් බිල 43603,Utilities
34082 course,Education
25891 investment,Finance
10985 insurance,Finance
10711 library,Education
poth Rs.11749,Education
rice Rs.5933,Food
4543 cash,Other
don't know salli 27808,Other
stationary Rs.22371,Education
keells 36827,Shopping
club Rs.47024,Entertainment
pickme Rs.27421,Transport
විභාග ගාස්තු salli 19661,Education
match ticket Rs.13216,Entertainment
tire change Rs.37759,Transport
ට්‍රිප් Rs.26931,Entertainment
daraz 13416,Shopping
gaming salli 2019,Entertainment
library salli 30300,Education
පින් වලට Rs.364,Gifts & Charity
panthi salli 47465,Education
34175 pharmacy,Health
10944 train,Transport
විභාග ගාස්තු Rs.34855,Education
coursera 17976,Education
බිල් එකට Rs.23873,Utilities
spotify salli 46363,Entertainment
දවල් කෑමට salli 30016,Food
කොත්තු 43866,Food
tax 19225,Finance
garbage fee Rs.26416,Utilities
17073 stock,Finance
leasing Rs.45605,Finance
course Rs.12272,Education
24550 ticket,Transport
lab 49309,Health
බිල් එකට salli 18591,Utilities
salon 24279,Personal Care
tea Rs.35126,Food
biscuit salli 42238,Food
shoppin salli 18933,Shopping
wedding 31481,Gifts & Charity
burger Rs.1571,Food
finance Rs.7308,Finance
kewa Rs.27200,Food
auto Rs.24278,Transport
bus 31308,Transport
23310 operation,Health
electricity 47557,Utilities
bag 29639,Shopping
21247 hutch,Utilities
subway salli 43313,Food
unknown salli 30386,Other
leasing salli 39439,Finance
cinema Rs.41084,Entertainment
vacation salli 171,Entertainment
rice and curry Rs.19283,Food
බත් salli 14056,Food
dialog salli 3360,Utilities
perfume Rs.1063,Personal Care
degree 6241,Education
5539 සෙල්ලම් කරන්න,Entertainment
36225 චැනලින්,Health
beer 20839,Entertainment
26631 religious,Gifts & Charity
sugar salli 47626,Shopping
7649 credit card,Finance
perfume Rs.31589,Personal Care
6193 game,Entertainment
interest Rs.40395,Finance
club 3315,Entertainment
loan Rs.7805,Finance
soap Rs.49915,Personal Care
බෙහෙත් වලට salli 47400,Health
cargills 6758,Shopping
31499 clinic,Health
37302 payment,Finance
30961 library,Education
නයි පියවන්න 49362,Finance
39663 beer,Entertainment
trimming Rs.562,Personal Care
මුදල් salli 42649,Other
ayurvedic Rs.42081,Health
physio salli 1544,Health
wifi 42400,Utilities
season Rs.5953,Transport
charity 44814,Gifts & Charity
fuel Rs.41373,Transport
41643 perfume,Personal Care
soap salli 17743,Personal Care
gym Rs.38857,Personal Care
42436 interest,Finance
tax 16569,Finance
6767 dansal,Gifts & Charity
pocket money salli 41512,Other
ණය 14068,Finance
dialog Rs.39776,Utilities
37639 train,Transport
ඉන්ෂුවරන්ස් 23246,Finance
drink 45384,Food
mobitel 32102,Utilities
furniture salli 3133,Shopping
බඩු ගත්තා salli 13553,Shopping
පොත් වලට 39248,Education
auto salli 46464,Transport
36495 religious,Gifts & Charity
dansal salli 28748,Gifts & Charity
පොත් වලට salli 47487,Education
5174 restaurant,Food
21993 present,Gifts & Charity
bag 8597,Shopping
7165 salon,Personal Care
movie 21466,Entertainment
හොස්පිට්ල් Rs.34886,Health
36095 lab,Health
mobitel Rs.28385,Utilities
cash Rs.12699,Other
class fee 21290,Education
නිකම්ම salli 19460,Other
49304 පින් වලට,Gifts & Charity
hoppers 40003,Food
46199 channeling,Health
rice and curry salli 45702,Food
spent salli 25293,Other
finance Rs.15023,Finance
body lotion 49222,Personal Care
2412 රීලෝඩ්,Utilities
ආධාර salli 24231,Gifts & Charity
44628 unknown,Other
37517 payment,Finance
24123 rice and curry,Food
486 spotify,Entertainment
21695 broadband,Utilities
26087 charity,Gifts & Charity
43397 ඩිසල්,Transport
coffee salli 13105,Food
other salli 38389,Other
movie 47626,Entertainment
vacation 37539,Entertainment
6779 තෑගි,Gifts & Charity
crypto salli 38642,Finance
leasing salli 40737,Finance
24846 ලෝන් එකට,Finance
facewash 30262,Personal Care
35152 degree,Education
exam fee salli 29990,Education
fiber Rs.13566,Utilities
6367 body lotion,Personal Care
water bill Rs.24717,Utilities
gym Rs.24872,Personal Care
47847 book,Education
43444 gaming,Entertainment
ලෝන් එකට salli 47647,Finance
10746 පොත් වලට,Education
වතුර බිල Rs.37586,Utilities
නිකම්ම Rs.13250,Other
19504 ලයිට් බිල,Utilities
34113 kema,Food
කෝස් එකට 8049,Education
48800 dinner,Food
perfume 35254,Personal Care
21681 tea,Food
rice Rs.48029,Food
gift salli 29814,Gifts & Charity
කොත්තු salli 41431,Food
bank fee Rs.4784,Finance
ලෝන් එකට 36885,Finance
gift 9125,Gifts & Charity
payment salli 48784,Finance
3836 misc,Other
shoes Rs.37862,Shopping
පින් වලට Rs.15173,Gifts & Charity
නයි පියවන්න Rs.47012,Finance
exam fee 19231,Education
body lotion salli 42135,Personal Care
26022 health insurance,Health
28631 skincare,Personal Care
soap 18833,Personal Care
doctor Rs.42115,Health
misc 33181,Other
dansal Rs.18268,Gifts & Charity
furniture salli 7695,Shopping
8042 soap,Shopping
current bill 39095,Utilities
watch salli 19251,Shopping
39975 වතුර බිල,Utilities
highway toll 33524,Transport
ayurvedic 17170,Health
ඇඳුම් ගත්තා Rs.10580,Shopping
17019 pants,Shopping
coffee salli 36653,Food
අතමාරුව Rs.29479,Finance
මුදල් Rs.24055,Other
channeling salli 14767,Health
tax salli 39546,Finance
vehicle repair Rs.48753,Transport
fare 17115,Transport
payment Rs.6106,Finance
ත්‍රීවීල් 33432,Transport
8122 bakery,Food
shaving 47478,Personal Care
නයි පියවන්න salli 11298,Finance
party salli 11317,Entertainment
46983 exam fee,Education
වතුර බිල salli 48315,Utilities
28254 beer,Entertainment
26340 match ticket,Entertainment
transport cost Rs.21209,Transport
shampoo 14702,Shopping
breakfast 39519,Food
fish salli 41155,Shopping
15101 parking,Transport
rice bag salli 21118,Shopping
arpico 22107,Shopping
ත්‍රීවීල් Rs.27312,Transport
misc Rs.12291,Other
cash Rs.46388,Other
pin Rs.14761,Gifts & Charity
library salli 49850,Education
24724 පෑන් පැන්සල්,Education
23095 show,Entertainment
29049 hair cut,Personal Care
shoppin 40328,Shopping
47158 salon,Personal Care
29800 ලෝන් එකට,Finance
perfume 39597,Personal Care
pocket money salli 16230,Other
bus Rs.31307,Transport
concert Rs.24355,Entertainment
pharmacy 28097,Health
33738 තෑගි,Gifts & Charity
21868 class fee,Education
hair color salli 40053,Personal Care
transport cost Rs.2948,Transport
ආධාර Rs.15387,Gifts & Charity
body lotion Rs.16269,Personal Care
helping 16727,Gifts & Charity
daraz 38785,Shopping
16701 game,Entertainment
parking salli 37957,Transport
investment salli 33184,Finance
lab Rs.29621,Health
11008 ජිම් එකට,Personal Care
1730 doctor,Health
35470 cash,Other
43385 නයි පියවන්න,Finance
අතින් ගියා 29207,Other
40534 body lotion,Personal Care
game 11201,Entertainment
other Rs.31529,Other
3296 bus,Transport
present salli 41437,Gifts & Charity
helping 16379,Gifts & Charity
grocery 9946,Shopping
18366 taxi,Transport
kitchen items 48890,Shopping
pants Rs.1903,Shopping
cinema Rs.19142,Entertainment
broadband 23111,Utilities
recharge Rs.49761,Utilities
මේකප් Rs.21280,Personal Care
16999 fish,Shopping
14032 trip,Entertainment
බිල් එකට Rs.8962,Utilities
2307 hospital,Health
other Rs.43303,Other
skincare salli 19723,Personal Care
පන්ති ගාස්තු salli 28633,Education
කෝච්චියට 44739,Transport
present 26869,Gifts & Charity
donation salli 29000,Gifts & Charity
බඩු ගත්තා Rs.18085,Shopping
විනෝදෙට Rs.49328,Entertainment
spent Rs.258,Other
course 48761,Education
loan 4605,Finance
helping Rs.31465,Gifts & Charity
vegetables Rs.21954,Shopping
workshop Rs.16606,Education
28846 spotify,Entertainment
අතමාරු ගත්තා salli 232,Finance
38410 සැලෝන් එකට,Personal Care
විභාග ගාස්තු salli 47297,Education
17607 match ticket,Entertainment
ත්‍රීවීල් salli 18200,Transport
1607 degree,Education
38662 water bill,Utilities
ත්‍රීවීල් 37879,Transport
offer salli 6980,Gifts & Charity
match ticket salli 9092,Entertainment
වෙනත් salli 34569,Other
බිල් එකට 31242,Utilities
helping 48179,Gifts & Charity
fitness salli 16934,Health
train Rs.24643,Transport
කෝච්චියට salli 47452,Transport
39392 cargills,Shopping
snacks 13345,Food
show Rs.36588,Entertainment
ඩිසල් Rs.15801,Transport
39379 current bill,Utilities
uber salli 38386,Transport
16662 leasing,Finance
interest salli 29993,Finance
dental 38068,Health
spotify salli 23526,Entertainment
soap salli 32792,Personal Care
rice and curry salli 34123,Food
dhal Rs.38855,Shopping
watch 24521,Shopping
short eats salli 5236,Food
workshop Rs.4244,Education
donation 47163,Gifts & Charity
16743 postpaid,Utilities
exam fee Rs.5535,Education
ලෝන් එකට Rs.44178,Finance
අතමාරුව salli 39495,Finance
doctor Rs.17958,Health
cargills Rs.38453,Shopping
ayurvedic 26897,Health
37505 doctor,Health
birthday salli 24169,Gifts & Charity
මුදල් salli 11324,Other
වතුර බිල salli 44866,Utilities
tire change salli 36662,Transport
unknown Rs.33499,Other
39493 makeup,Personal Care
helping 47286,Gifts & Charity
water bill salli 24970,Utilities
dental 25123,Health
අතමාරු ගත්තා Rs.14796,Finance
අතමාරු ගත්තා Rs.7047,Finance
13620 beauty,Personal Care
channeling Rs.43466,Health
47427 චැනලින්,Health
විභාග ගාස්තු salli 24371,Education
pharmacy Rs.2742,Health
vehicle repair Rs.30077,Transport
7964 ජිම් එකට,Personal Care
body lotion 4131,Personal Care
මේකප් salli 34588,Personal Care
කෝච්චියට salli 48236,Transport
shoes salli 7729,Shopping
finance salli 5004,Finance
ජිම් එකට salli 42616,Personal Care
ජිම් එකට 46114,Personal Care
game 34640,Entertainment
library Rs.2526,Education
watch 49311,Shopping
ලෝන් එකට Rs.3281,Finance
dialog salli 27646,Utilities
නිකම්ම 1335,Other
විභාග ගාස්තු Rs.37783,Education
misc Rs.2021,Other
university 651,Education
28206 workshop,Education
hair cut salli 37012,Personal Care
කෝස් එකට 38013,Education
පන්ති ගාස්තු Rs.24629,Education
බනිස් salli 23854,Food
දවල් කෑමට salli 45557,Food
fare Rs.24177,Transport
liquor salli 773,Entertainment
39163 බෙහෙත් වලට,Health
1588 වතුර බිල,Utilities
barber 22096,Personal Care
payment salli 48503,Finance
credit card 49090,Finance
investment salli 2659,Finance
loan salli 36144,Finance
youtube premium salli 42987,Entertainment
grocery 29617,Shopping
watch Rs.37811,Shopping
